0,-5,0,315,0,-24,0
0,-24,0,315,0,-44,0
0,-44,0,315,2,-60,0
2,-60,0,316,13,-69,0.3
13,-69,0.3,315,32,-70,0
32,-70,0,316,51,-67,0.3
51,-67,0.3,316,59,-55,0.3
59,-55,0.3,315,61,-36,-0.1
61,-36,-0.1,315,72,-25,0.1
72,-25,0.1,316,78,-13,0.3
78,-13,0.3,315,67,-6,0.2
67,-6,0.2,315,50,-9,0
50,-9,0,315,37,-21,0
37,-21,0,314,25,-26,-0.3
25,-26,-0.3,314,17,-14,0
17,-14,0,315,18,2,0
18,2,0,315,19,21,0
19,21,0,316,14,36,0.3
14,36,0.3,316,2,34,0.3
2,34,0.3,315,0,17,0
0,-6,0,315,0,-25,0
0,-25,0,315,0,-45,0
0,-45,0,315,2,-58,0
2,-58,0,316,13,-68,0.2
13,-68,0.2,315,31,-69,0
31,-69,0,316,50,-67,0
50,-67,0,315,59,-56,0.1
59,-56,0.1,314,61,-37,-0.3
61,-37,-0.3,316,71,-26,0.3
71,-26,0.3,316,77,-14,0.3
77,-14,0.3,315,67,-7,0
67,-7,0,316,48,-9,0.3
48,-9,0.3,314,37,-21,-0.1
37,-21,-0.1,314,25,-26,-0.3
25,-26,-0.3,315,19,-14,0.1
19,-14,0.1,315,19,5,0
19,5,0,315,20,24,0.1
20,24,0.1,316,12,36,0.3
12,36,0.3,316,1,30,0.3
1,30,0.3,315,0,11,0
0,-6,0,315,0,-25,0
0,-25,0,315,0,-45,0
0,-45,0,315,2,-58,0
2,-58,0,316,13,-68,0.2
13,-68,0.2,315,31,-69,0
31,-69,0,316,50,-67,0
50,-67,0,315,59,-56,0.1
59,-56,0.1,314,61,-37,-0.3
61,-37,-0.3,316,71,-26,0.3
71,-26,0.3,316,77,-14,0.3
77,-14,0.3,315,67,-7,0
67,-7,0,316,48,-9,0.3
48,-9,0.3,314,37,-21,-0.1
37,-21,-0.1,314,25,-26,-0.3
25,-26,-0.3,315,19,-14,0.1
19,-14,0.1,315,19,5,0
19,5,0,315,20,24,0.1
20,24,0.1,316,12,36,0.3
12,36,0.3,316,1,30,0.3
1,30,0.3,315,0,11,0
0,-48,0,315,4,-63,0
4,-63,0,316,20,-69,0.1
20,-69,0.1,315,39,-69,0
39,-69,0,315,55,-64,0.1
55,-64,0.1,-1,60,-48,0
60,-48,0,314,61,-30,-0.3
63,-30,0,316,75,-24,0.3
75,-24,0.3,316,78,-12,0.3
78,-12,0.3,315,72,-6,0
72,-6,0,-1,71,-6,0
71,-6,0,316,70,-6,0.2
68,-6,0,315,55,-9,0
55,-9,0,314,40,-16,-0.2
40,-16,-0.2,314,28,-27,-0.3
28,-27,-0.3,314,18,-22,-0.3
18,-22,-0.3,-1,17,-22,0
17,-22,0,-1,17,-22,0
17,-22,0,315,18,-20,0
18,-20,0,315,20,-1,0.1
20,-1,0.1,315,20,18,0
0,-8,0,315,0,-28,0
0,-28,0,315,0,-47,0
0,-47,0,316,5,-64,0.3
5,-64,0.3,316,20,-67,0.1
20,-67,0.1,315,40,-67,0
40,-67,0,316,56,-63,0.3
56,-63,0.3,315,59,-46,0
59,-46,0,315,64,-31,-0.2
64,-31,-0.2,316,76,-20,0.3
76,-20,0.3,316,71,-9,0.3
71,-9,0.3,316,54,-8,0.1
54,-8,0.1,315,41,-16,0
41,-16,0,314,28,-26,-0.3
28,-26,-0.3,315,18,-18,-0.2
18,-18,-0.2,315,18,0,0.2
18,0,0.2,315,18,19,0
18,19,0,316,14,34,0.3
14,34,0.3,316,1,34,0.3
1,34,0.3,315,0,18,0
0,18,0,-1,0,2,0
0,1,0,315,0,-18,0
0,-18,0,315,0,-38,0
